month,strategy,type,variant,params,total_trades,total_return_pct,profit_factor,sharpe_ratio,max_drawdown_pct,win_rate_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,max_consecutive_losses,long_trades,short_trades,long_return_pct,short_return_pct,score,return_1w,return_1m,return_3m,return_6m,return_1y
2025-10,Aggressive Breakout,Breakout,v3,"{""lookback"": 6, ""volume_mult"": 1.0, ""atr_mult"": 0.7}",94,4426.46,50.303,0.788,15.85,33.0,24.6119,76.1433,-0.7448,13,46,48,2218.06,95.46,2.499,-7.0,4426.46,4426.46,4426.46,4426.46
2025-10,Aggressive Breakout,Breakout,v1,"{""lookback"": 8, ""volume_mult"": 1.2, ""atr_mult"": 0.8}",61,3715.67,57.01,0.778,15.85,37.7,37.6212,101.5593,-1.0782,5,31,30,2209.17,85.72,2.7989,-3.33,3715.67,3715.67,3715.67,3715.67
2025-10,Aggressive Breakout,Breakout,default,"{""lookback"": 12, ""volume_mult"": 1.5, ""atr_mult"": 1.0}",22,39.56,6.355,0.708,8.46,36.4,1.84,6.005,-0.54,6,10,12,4.81,35.67,0.5322,-2.18,39.56,39.56,39.56,39.56
2025-10,Aggressive Breakout,Breakout,v2,"{""lookback"": 12, ""volume_mult"": 1.5, ""atr_mult"": 1.0}",22,39.56,6.355,0.708,8.46,36.4,1.84,6.005,-0.54,6,10,12,4.81,35.67,0.5322,-2.18,39.56,39.56,39.56,39.56
2025-10,RSI Momentum,Momentum,v1,"{""rsi_len"": 5, ""rsi_long_entry"": 55, ""rsi_short_entry"": 45, ""rsi_long_exit"": 80, ""rsi_short_exit"": 20, ""atr_mult"": 1.2}",99,36.37,1.986,0.464,25.61,25.3,0.6029,4.8091,-0.8181,14,64,35,-18.94,78.63,0.036,-7.2,36.37,36.37,36.37,36.37
2025-10,VWAP Bounce,Mean-Reversion,v1,"{""vwap_len"": 14, ""vwap_mult"": 1.0, ""rsi_len"": 5, ""atr_mult"": 1.0}",52,30.43,2.556,0.862,7.28,34.6,0.5849,2.7758,-0.575,7,20,32,28.63,1.79,0.3029,4.05,30.43,30.43,30.43,30.43
2025-12,VWAP Bounce,Mean-Reversion,default,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",28,11.08,2.351,0.741,3.62,39.3,0.4318,1.9127,-0.5264,4,10,18,14.47,-2.38,0.4815,-2.54,11.08,11.08,11.08,11.08
2025-12,VWAP Bounce,Mean-Reversion,v2,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",28,11.08,2.351,0.741,3.62,39.3,0.4318,1.9127,-0.5264,4,10,18,14.47,-2.38,0.4815,-2.54,11.08,11.08,11.08,11.08
2025-10,VWAP Bounce,Mean-Reversion,default,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",25,9.68,2.524,0.582,5.2,44.0,0.4036,1.519,-0.4728,4,12,13,9.36,0.73,0.2826,2.38,9.68,9.68,9.68,9.68
2025-10,VWAP Bounce,Mean-Reversion,v2,"{""vwap_len"": 20, ""vwap_mult"": 1.5, ""rsi_len"": 7, ""atr_mult"": 1.3}",25,9.68,2.524,0.582,5.2,44.0,0.4036,1.519,-0.4728,4,12,13,9.36,0.73,0.2826,2.38,9.68,9.68,9.68,9.68
